neighbourhood_cleansed,listing_id,price,adjusted_price,minimum_nights,maximum_nights,latitude,longitude,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,extra_people,guests_included,new_price
Mindelo,20536327.570442285,98.15318230852212,98.15318230852212,3.17108953613808,824.2343042071197,41.3089603991364,-8.733383788565343,6.106148867313916,1.9393743257820928,2.868824163969795,4.028694714131607,57.14131607335491,28.059115426105716,9.153182308522114,2.3188781014023734,4.427689862438068
Modivas,45853895.0,30.0,30.0,2.0,1125.0,41.298109999999994,-8.68221,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.401197381662156
Moldes,29386739.25,82.72549019607843,82.72549019607843,1.8651960784313726,1119.485294117647,40.916903750000294,-8.216734999999948,5.75,0.875,2.875,3.75,0.0,0.0,0.0,0.875,4.411300880673043
Monte Córdova,24476487.016460907,120.81893004115226,120.81893004115226,2.8261316872427984,1082.9398148148148,41.32140554012466,-8.426388168724332,6.216563786008231,1.918724279835391,2.1980452674897117,3.037037037037037,135.10802469135803,16.75925925925926,5.317901234567901,2.037037037037037,4.603366446958936
Moreira,29812260.01667398,76.4023694602896,76.4023694602896,1.252888693871581,700.7114231388035,41.24168800058635,-8.65923026034796,3.9338891326605236,1.3091999414948077,1.3383062746818781,2.3235337136170835,154.23431329530496,1.4041246160596752,5.142606406318561,1.2290478279947346,4.224113252542398
Mozelos,26160328.0,70.05128205128206,70.05128205128206,1.9943019943019944,1121.7948717948718,41.00108,-8.582229999999983,6.0,2.0,3.0,4.0,0.0,50.0,5.0,4.0,4.249214823445582
Muro,19164221.853893265,144.01574803149606,143.82939632545933,2.7130358705161854,1112.5196850393702,41.29580883639539,-8.59691789151368,8.167979002624673,2.540682414698163,3.9273840769903763,5.167979002624672,61.41732283464567,9.186351706036746,13.79265091863517,4.680664916885389,4.934922809747344
Negrelos (São Tomé),28651817.0,428.77492877492875,428.77492877492875,3.0,60.0,41.34714999999973,-8.409810000000068,16.0,10.0,9.0,16.0,250.0,0.0,30.0,16.0,6.04390440497829
Nogueira do Cravo e Pindelo,22632778.284629982,21.27134724857685,21.27134724857685,0.9971537001897534,1064.8339658444022,40.890375445920775,-8.45324523719169,8.004743833017077,2.6650853889943074,3.0,4.672675521821632,0.0,20.0,12.012333965844402,1.9971537001897532,3.010432452917092
Nogueira e Silva Escura,32139498.382066276,108.96296296296296,108.96296296296296,2.925925925925926,734.8343079922028,41.25757228070229,-8.591255029239777,5.953216374269005,3.294346978557505,2.9766081871345027,3.9766081871345027,0.0,11.237816764132553,3.1773879142300196,1.9532163742690059,4.608605183073474
"O. Azeméis, Riba-Ul, Ul, Macinhata da Seixa, Madail",23391676.140355676,93.99781121751026,93.89986320109439,2.073871409028728,764.8374829001368,40.8399245608765,-8.484609595075199,6.685362517099863,1.93844049247606,2.478248974008208,3.0093023255813955,261.09439124487005,20.76060191518468,12.537619699042407,2.877154582763338,4.277206328769467
Oliveira do Douro,24743460.686816588,73.8786878481535,73.84598720858263,2.2699608004951517,782.2899731792861,41.12656432019823,-8.591524407881359,4.433979781308025,1.4590468330926347,1.8772436558696102,2.4134516195584896,90.90788116360635,12.705075304311945,9.034660614813287,1.9846296678357747,4.055178450857695
Ossela,19714283.51010101,139.65151515151516,139.65151515151516,2.409090909090909,1123.1060606060605,40.82197518518492,-8.4324527104377,6.474747474747475,2.2373737373737375,2.824915824915825,6.537037037037037,41.245791245791246,0.0,8.813131313131313,1.5875420875420876,4.704918488848702
Parada de Todeia,22019360.843791723,160.17089452603471,160.17089452603471,2.6695594125500666,735.3070761014686,41.16122379172252,-8.376493170894499,7.953271028037383,2.0854472630173566,3.046728971962617,4.696261682242991,46.728971962616825,22.897196261682243,5.861148197596796,2.5353805073431244,4.942786633273459
Paramos,43981915.8697479,72.71428571428571,72.71428571428571,2.4327731092436973,902.155462184874,40.96415608875905,-8.635614042767754,3.2983193277310923,0.9369747899159664,1.1932773109243697,1.9747899159663866,273.109243697479,3.2563025210084033,0.0,0.9369747899159664,4.2588226170933
Paranhos,25075025.924301848,51.538993921077825,51.07326427739264,5.377089269029795,852.5187904444418,41.16985835034881,-8.605226311269565,3.2398636568119685,1.5333244898665406,1.3977541439331895,2.0916509983505014,37.452735514978144,14.356395556734684,5.307706504562075,1.6410898227077158,3.622105438192779
Paredes,25638129.73815087,83.75801068090787,83.75801068090787,2.1258344459279037,983.8442923898531,41.20272839285595,-8.344331131509218,2.8481308411214954,0.9118825100133512,0.8915220293724967,1.3576435246995995,5.841121495327103,6.622997329773031,4.623664886515354,1.544392523364486,4.294505721438821
Pedroso e Seixezelo,25112129.165502183,81.53799126637554,81.50917030567686,1.648471615720524,1049.816593886463,41.05547475982653,-8.560564567685558,4.314410480349345,1.3807860262008733,1.388646288209607,2.6253275109170304,0.0,16.137554585152838,9.997816593886462,1.077292576419214,3.906437906667408
Pedrouços,20774344.455634426,37.34930493936705,37.37814256137238,3.9547471162377996,746.4871339840284,41.185953114464034,-8.588369760425591,3.3874593315587105,1.541407867494824,1.4001774622892635,2.2012718130730553,10.056196391600118,14.020260278024253,6.197426796805678,1.9127477077787636,3.3939754486965117
"Perafita, Lavra e Santa Cruz do Bispo",23563981.91540092,69.7090692334864,69.62588308018368,2.4771282232426706,702.736797951254,41.2417827993642,-8.71253491389849,4.008256799717414,1.3287265983751324,1.7242140586365242,2.2623189685623455,108.0735605793006,19.410543977393147,6.805810667608619,1.5811550688802543,4.072451095759573
